,taxid,family,genus_species,amr_fullname,gram_status,pathogenicity,I6_occupancy
2721,342950,Shewanellaceae,Parashewanella spongiae,Parashewanella spongiae,Gram-negative,Non-pathogenic,56
2722,91891,Legionellaceae,Legionella pneumophila,Legionella pneumophila,Gram-negative,Pathogenic,54
2723,2320272,Roseobacteraceae,Roseovarius spongiae,Roseovarius spongiae,Gram-negative,Non-pathogenic,51
2724,2320081,Acutalibacteraceae,Acutalibacter sp. 1XD8-33,Pluralibacter gergoviae,Gram-negative,Pathogenic,8
2725,1714845,Alteromonadaceae,Alteromonas sp. BL110,Aeromonas caviae,Gram-negative,Pathogenic,56
2726,1714848,Flavobacteriaceae,Aquimarina sp. AD1,(unknown name),Gram-negative,Unknown,55
2727,1420899,Streptomycetaceae,Streptomyces klenkii,Streptomyces klenkii,Gram-positive,Potentially pathogenic,37
2728,235567,Morganellaceae,Arsenophonus endosymbiont of Trialeurodes vaporariorum,(unknown name),Gram-negative,Unknown,51
2729,2231055,Azonexaceae,Dechloromonas sp. HYN0024,(unknown name),Gram-negative,Unknown,52
2730,2016101,Thermosynechococcaceae,Thermosynechococcus vestitus,(unknown name),Gram-negative,Unknown,7
2731,2319843,Hymenobacteraceae,Hymenobacter oligotrophus,(unknown name),Gram-negative,Unknown,55
2732,1905676,Alteromonadaceae,Glaciecola sp.,Glaciecola,Gram-negative,Non-pathogenic,56
2733,2055757,Cyanothecaceae,Cyanothece sp. UBA12306,(unknown name),Gram-negative,Unknown,5
2734,2053605,Nostocaceae,Richelia sp.,Richelia,Gram-negative,Non-pathogenic,5
2735,2052162,Gallionellaceae,Gallionellaceae bacterium,Salmonella bongori,Gram-negative,Pathogenic,52
2736,1849603,Enterobacteriaceae,Enterobacteriaceae bacterium,Enterobacter cloacae cloacae,Gram-negative,Pathogenic,56
2737,1869339,Comamonadaceae,Polaromonas sp.,Polaromonas,Gram-negative,Non-pathogenic,52
2738,1409,Bacillaceae,Bacillus sp. (in,Brevibacillus agri,Gram-positive,Pathogenic,6
2739,69393,Erwiniaceae,Pantoea sp.,Pantoea,Gram-negative,Potentially pathogenic,52
2740,1895847,Sphingomonadaceae,Sphingomonas bacterium,Sphingomonas paucimobilis,Gram-negative,Pathogenic,51
2741,229037,Morganellaceae,Proteus sp. (in,Providencia alcalifaciens,Gram-negative,Pathogenic,55
2742,1912315,Morganellaceae,Morganella sp. (in,Morganella morganii,Gram-negative,Pathogenic,55
2743,1871070,Oxalobacteraceae,Oxalobacteraceae bacterium,Mycobacterium bacteremicum,Gram-positive,Pathogenic,52
2744,1920174,Roseobacteraceae,Octadecabacter sp.,Octadecabacter,Gram-negative,Non-pathogenic,51
2745,1965322,Cellvibrionaceae,Cellvibrio sp.,Cellvibrio,Gram-negative,Non-pathogenic,55
2746,52017,Desulfomicrobiaceae,Desulfomicrobium sp.,Desulfomicrobium,Gram-negative,Potentially pathogenic,43
2747,29541,Methylophilaceae,Methylophilus sp.,Methylophilus,Gram-negative,Non-pathogenic,52
2748,2055794,Microcoleaceae,Microcoleaceae cyanobacterium UBA9251,(unknown name),Gram-negative,Unknown,5
2749,1137281,Flavobacteriaceae,Xanthomarina gelatinilytica,Xanthomarina gelatinilytica,Gram-negative,Non-pathogenic,55
2750,1332285,Helicobacteraceae,Helicobacter sp. MIT 99-10781,Helicobacter bilis,Gram-negative,Pathogenic,44
2751,60246,Helicobacteraceae,Helicobacter ganmani,Helicobacter ganmani,Gram-negative,Potentially pathogenic,44
2752,361872,Helicobacteraceae,Helicobacter equorum,Helicobacter equorum,Gram-negative,Potentially pathogenic,44
2753,375926,Helicobacteraceae,Helicobacter anseris,Helicobacter anseris,Gram-negative,Potentially pathogenic,44
2754,2283595,Kangiellaceae,Kangiella sp. HD9-110m-PIT-SAG07,(unknown name),Gram-negative,Unknown,56
2755,1940533,Paracoccaceae,Rhodosalinus sediminis,Rhodosalinus sediminis,Gram-negative,Non-pathogenic,51
2756,395936,Weeksellaceae,Chryseobacterium elymi,Chryseobacterium elymi,Gram-negative,Potentially pathogenic,55
2757,1122140,Halomonadaceae,Kushneria indalinina,Kushneria indalinina,Gram-negative,Non-pathogenic,56
2758,680125,Sphingomonadaceae,Parasphingopyxis lamellibrachiae,Parasphingopyxis lamellibrachiae,Gram-negative,Non-pathogenic,51
2759,1938805,Burkholderiaceae,Paraburkholderia sp. BL27I4N3,Paraburkholderia fungorum,Gram-negative,Pathogenic,52
2760,1938807,Burkholderiaceae,Paraburkholderia sp. BL6669N2,Paraburkholderia fungorum,Gram-negative,Pathogenic,52
2761,1682742,Flavobacteriaceae,Flavobacterium aquicola,Flavobacterium aquicola,Gram-negative,Potentially pathogenic,55
2762,2060473,Microcystaceae,Microcystis flos-aquae,Microcystis flos-aquae,Gram-negative,Non-pathogenic,5
2763,2060474,Microcystaceae,Microcystis wesenbergii,Microcystis wesenbergii,Gram-negative,Non-pathogenic,4
2764,1882945,Paenibacillaceae,Brevibacillus sp.,Brevibacillus,Gram-positive,Potentially pathogenic,9
2765,2014741,Pseudomonadaceae,Pseudomonas sp. GL93,Pseudomonas fulva,Gram-negative,Pathogenic,55
2766,1758642,Bacillaceae,Bacillus sp. V59.32b,Bacillus subtilis,Gram-positive,Pathogenic,6
2767,67828,Enterobacteriaceae,Citrobacter gillenii,Citrobacter gillenii,Gram-negative,Potentially pathogenic,51
2768,585543,Bacteroidaceae,Bacteroides sp. D20,Prevotella oris,Gram-negative,Pathogenic,55
2769,469591,Tannerellaceae,Parabacteroides sp. 20_3,Parabacteroides,Gram-negative,Potentially pathogenic,55
2770,1827501,Phyllobacteriaceae,Mesorhizobium sp. YM1C-6-2,(unknown name),Gram-negative,Unknown,51
2771,303682,Zoogloeaceae,Thauera sp. 28,Thauera,Gram-negative,Non-pathogenic,52
2772,930946,Lactobacillaceae,Fructobacillus fructosus,Fructobacillus fructosus,Gram-positive,Non-pathogenic,6
2773,2448483,Yersiniaceae,Serratia sp. 3ACOL1,Serratia ficaria,Gram-negative,Pathogenic,52
2774,2478662,Comamonadaceae,Acidovorax sp. 1608163,Acidovorax,Gram-negative,Potentially pathogenic,52
2775,2478663,Weeksellaceae,Chryseobacterium sp. 3008163,Chryseobacterium,Gram-negative,Potentially pathogenic,55
2776,323284,Alcaligenaceae,Alcaligenes aquatilis,Alcaligenes aquatilis,Gram-negative,Potentially pathogenic,52
2777,2479367,Enterobacteriaceae,Buttiauxella sp. 3AFRM03,Buttiauxella gaviniae,Gram-negative,Potentially pathogenic,56
2778,2039166,Weeksellaceae,Chryseobacterium sp. 6424,Chryseobacterium,Gram-negative,Potentially pathogenic,55
2779,1101443,Lysobacteraceae,Xanthomonas axonopodis,Xanthomonas axonopodis,Gram-negative,Potentially pathogenic,55
2780,143221,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,51
2781,482957,Burkholderiaceae,Burkholderia lata,Burkholderia lata,Gram-negative,Pathogenic,52
2782,1522758,Streptomycetaceae,Streptomyces sp. ADI95-16,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2783,2487065,Weeksellaceae,Chryseobacterium sp. G0201,Chryseobacterium,Gram-negative,Potentially pathogenic,55
2784,1493872,Weeksellaceae,Chryseobacterium shandongense,Chryseobacterium shandongense,Gram-negative,Potentially pathogenic,55
2785,2487064,Weeksellaceae,Chryseobacterium sp. G0186,Chryseobacterium,Gram-negative,Potentially pathogenic,55
2786,2487063,Weeksellaceae,Chryseobacterium sp. G0162,Chryseobacterium,Gram-negative,Potentially pathogenic,55
2787,2219813,Synechococcaceae,Synechococcus elongatus,Synechococcus elongatus,Gram-negative,Non-pathogenic,7
2788,658630,Pseudomonadaceae,Pseudomonas sp. CMR5c,Burkholderia cepacia,Gram-negative,Pathogenic,55
2789,658644,Pseudomonadaceae,Pseudomonas sp. R5-89-07,Pseudomonas fulva,Gram-negative,Pathogenic,55
2790,658642,Pseudomonadaceae,Pseudomonas sp. R4-34-07,Pseudomonas fulva,Gram-negative,Pathogenic,55
2791,2488560,Alcaligenaceae,Pigmentiphaga sp. H8,(unknown name),Gram-negative,Unknown,52
2792,150120,Shewanellaceae,Shewanella livingstonensis,Shewanella livingstonensis,Gram-negative,Potentially pathogenic,56
2793,1241979,Weeksellaceae,Kaistella carnis,Chryseobacterium carnis,Gram-negative,Potentially pathogenic,55
2794,1978337,Dysgonomonadaceae,Petrimonas sp. IBARAKI,(unknown name),Gram-negative,Unknown,55
2795,2320086,Tannerellaceae,Parabacteroides sp. CH2-D42-20,Parabacteroides merdae,Gram-negative,Pathogenic,55
2796,1343740,Streptomycetaceae,Streptomyces rapamycinicus,Streptomyces rapamycinicus,Gram-positive,Potentially pathogenic,37
2797,2135635,Comamonadaceae,Acidovorax sp. 100,Acidovorax,Gram-negative,Potentially pathogenic,52
2798,2135662,Sphingomonadaceae,Sphingomonas sp. PP-F2F-G114-C0414,Sphingomonas devorans,Gram-negative,Pathogenic,51
2799,2135659,Sphingomonadaceae,Sphingomonas sp. PP-CE-3A-406,Sphingomonas devorans,Gram-negative,Pathogenic,51
2800,2479847,Flavobacteriaceae,Dokdonia sinensis,Dokdonia sinensis,Gram-negative,Non-pathogenic,55
2801,2482750,Pseudomonadaceae,Pseudomonas sp. AOB-7,Pseudomonas fulva,Gram-negative,Pathogenic,55
2802,2483351,Thermomonosporaceae,Actinomadura harenae,Actinomadura harenae,Gram-positive,Potentially pathogenic,35
2803,199201,Pseudomonadaceae,Pseudomonas syringae,Pseudomonas syringae,Gram-negative,Potentially pathogenic,55
2804,29438,Pseudomonadaceae,Pseudomonas savastanoi,Pseudomonas savastanoi,Gram-negative,Potentially pathogenic,55
2805,235276,Pseudomonadaceae,Pseudomonas coronafaciens,Burkholderia gladioli,Gram-negative,Pathogenic,55
2806,81036,Pseudomonadaceae,Pseudomonas syringae group genomosp. 3,Pseudomonas oleovorans oleovorans,Gram-negative,Pathogenic,55
2807,97473,Pseudomonadaceae,Pseudomonas marginalis,Pseudomonas marginalis,Gram-negative,Potentially pathogenic,55
2808,251706,Pseudomonadaceae,Pseudomonas syringae group genomosp. 3,Pseudomonas oleovorans oleovorans,Gram-negative,Pathogenic,55
2809,192088,Pseudomonadaceae,Pseudomonas syringae group genomosp. 3,Pseudomonas oleovorans oleovorans,Gram-negative,Pathogenic,55
2810,36746,Pseudomonadaceae,Pseudomonas cichorii,Pseudomonas cichorii,Gram-negative,Potentially pathogenic,55
2811,235275,Pseudomonadaceae,Pseudomonas coronafaciens,Burkholderia gladioli,Gram-negative,Pathogenic,55
2812,663959,Pseudomonadaceae,Pseudomonas syringae,Pseudomonas syringae,Gram-negative,Potentially pathogenic,55
2813,322,Pseudomonadaceae,Pseudomonas amygdali,Pseudomonas amygdali,Gram-negative,Potentially pathogenic,55
2814,1550736,Comamonadaceae,Corticibacter populi,Corticibacter populi,Gram-negative,Non-pathogenic,52
2815,2382159,Dysgonomonadaceae,Proteiniphilum sp. X52,Peptoniphilus harei,Gram-positive,Pathogenic,55
2816,2066070,Phyllobacteriaceae,Mesorhizobium japonicum,Mesorhizobium japonicum,Gram-negative,Non-pathogenic,51
2817,1268550,Sphingobacteriaceae,Pedobacter jejuensis,Pedobacter jejuensis,Gram-negative,Non-pathogenic,54
2818,2487137,Nocardiopsaceae,Nocardiopsaceae bacterium YIM 96095,(unknown name),Gram-positive,Unknown,34
2819,1172565,Pectobacteriaceae,Lonsdalea populi,Lonsdalea populi,Gram-negative,Non-pathogenic,56
2820,192389,Weeksellaceae,Chryseobacterium daecheongense,Chryseobacterium daecheongense,Gram-negative,Potentially pathogenic,55
2821,2487074,Weeksellaceae,Kaistella daneshvariae,Kaistella daneshvariae,Gram-negative,Potentially pathogenic,55
2822,2485118,Enterobacteriaceae,Enterobacter sp. BIGb0383,Enterobacter asburiae,Gram-negative,Pathogenic,56
2823,306545,Cellvibrionaceae,Marinimicrobium koreense,Marinimicrobium koreense,Gram-negative,Non-pathogenic,55
2824,1520455,Streptomycetaceae,Streptomyces sp. PanSC19,Streptomyces somaliensis,Gram-positive,Pathogenic,37
2825,2485141,Marinobacteraceae,Marinobacter sp. 3-2,Marinobacter,Gram-negative,Non-pathogenic,55
2826,2485152,Streptomycetaceae,Streptomyces sp. 840.1,Streptomyces,Gram-positive,Potentially pathogenic,37
2827,2485153,Streptomycetaceae,Streptomyces sp. CEV 2-1,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2828,2485161,Streptomycetaceae,Streptomyces sp. 2132.2,Streptomyces,Gram-positive,Potentially pathogenic,37
2829,2485126,Erwiniaceae,Erwinia sp. JUb26,Pantoea agglomerans,Gram-negative,Pathogenic,52
2830,2485130,Comamonadaceae,Comamonas sp. BIGb0124,Comamonas kerstersii,Gram-negative,Pathogenic,52
2831,2485119,Enterobacteriaceae,Raoultella sp. BIGb0399,Raoultella planticola,Gram-negative,Pathogenic,56
2832,2485133,Enterobacteriaceae,Enterobacter sp. BIGb0359,Enterobacter asburiae,Gram-negative,Pathogenic,56
2833,2484250,Marinobacteraceae,Marinobacter sp. R17,Rapidly growing Mycobacterium (RGM),Gram-positive,Pathogenic,55
2834,1351,Enterococcaceae,Enterococcus faecalis,Enterococcus faecalis,Gram-positive,Pathogenic,8
2835,2487347,Pseudomonadaceae,Pseudomonas sp. SSM44,Pseudomonas fulva,Gram-negative,Pathogenic,55
2836,2487742,Shewanellaceae,Shewanella psychromarinicola,Shewanella psychromarinicola,Gram-negative,Potentially pathogenic,56
2837,2487897,Cyclobacteriaceae,Cyclobacteriaceae bacterium YHN15,(unknown name),Gram-negative,Unknown,55
2838,762213,Roseobacteraceae,Pacificibacter maritimus,Pacificibacter maritimus,Gram-negative,Non-pathogenic,51
2839,2485154,Streptomycetaceae,Streptomyces sp. Ag109_G2-6,Streptomyces thermovulgaris,Gram-positive,Pathogenic,37
2840,1522757,Streptomycetaceae,Streptomyces sp. ADI93-02,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2841,1522755,Streptomycetaceae,Streptomyces sp. ADI91-18,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2842,1522761,Streptomycetaceae,Streptomyces sp. ADI96-15,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2843,1522759,Streptomycetaceae,Streptomyces sp. ADI95-17,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2844,1522762,Streptomycetaceae,Streptomyces sp. ADI97-07,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2845,1522764,Streptomycetaceae,Streptomyces sp. ADI98-12,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2846,1522760,Streptomycetaceae,Streptomyces sp. ADI96-02,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2847,1522763,Streptomycetaceae,Streptomyces sp. ADI98-10,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2848,2489596,Nitrobacteraceae,Bradyrhizobium sp. RP6,Rapidly growing Mycobacterium (RGM),Gram-positive,Pathogenic,51
2849,1458930,Oscillatoriaceae,Okeania hirsuta,Okeania hirsuta,Gram-negative,Non-pathogenic,5
2850,2153360,Pseudomonadaceae,Pseudomonas sp. KBW05,Pseudomonas fulva,Gram-negative,Pathogenic,55
2851,2153366,Chromobacteriaceae,Aquitalea sp. FJL05,(unknown name),Gram-negative,Unknown,52
2852,2153363,Oxalobacteraceae,Herminiimonas sp. KBW02,(unknown name),Gram-negative,Unknown,52
2853,2305219,Paracoccaceae,Paracoccus sp. BP8,Paracoccus yeei,Gram-negative,Pathogenic,51
2854,2184574,Burkholderiaceae,Burkholderia sp. Bp9143,Burkholderia cepacia,Gram-negative,Pathogenic,52
2855,2184571,Burkholderiaceae,Burkholderia sp. Bp9131,Burkholderia cepacia,Gram-negative,Pathogenic,52
2856,2184573,Burkholderiaceae,Burkholderia sp. Bp9142,Burkholderia cepacia,Gram-negative,Pathogenic,52
2857,2184554,Burkholderiaceae,Burkholderia sp. Bp8992,Burkholderia cepacia,Gram-negative,Pathogenic,52
2858,2487322,Vibrionaceae,Vibrio viridaestus,Vibrio viridaestus,Gram-negative,Potentially pathogenic,56
2859,2269046,Listeriaceae,Listeria sp. SHR_NRA_18,Listeria ivanovii ivanovii,Gram-positive,Pathogenic,6
2860,2483111,Halomonadaceae,Halomonas sp. YLB-10,Halomonas hamiltonii,Gram-negative,Pathogenic,56
2861,39769,Methylococcaceae,Methylococcus sp.,Methylococcus,Gram-negative,Non-pathogenic,51
2862,2184559,Burkholderiaceae,Burkholderia sp. Bp9004,Burkholderia cepacia,Gram-negative,Pathogenic,52
2863,2025312,Spirosomataceae,Larkinella rosea,Larkinella rosea,Gram-negative,Non-pathogenic,55
2864,452629,Oceanospirillaceae,Amphritea balenae,Amphritea balenae,Gram-negative,Non-pathogenic,55
2865,2487907,Brucellaceae,Brucellaceae bacterium VT-16-1752,(unknown name),Gram-negative,Unknown,50
2866,2491056,Comamonadaceae,Comamonadaceae bacterium OH2310_COT-174,(unknown name),Gram-negative,Unknown,52
2867,2491043,Prevotellaceae,Alloprevotella sp. OH1205_COT-284,Alloprevotella tannerae,Gram-negative,Pathogenic,55
2868,425306,Phyllobacteriaceae,Mesorhizobium tamadayense,Mesorhizobium tamadayense,Gram-negative,Non-pathogenic,51
2869,2528527,Aestuariirhabdaceae,Aestuariirhabdus litorea,Aestuariirhabdus litorea,Gram-negative,Non-pathogenic,55
2870,2483814,Paracoccaceae,Rhodobacteraceae bacterium THAF1,(unknown name),Gram-negative,Unknown,51
2871,1920110,Enterobacteriaceae,Citrobacter sp. CFNIH10,Citrobacter cronae,Gram-negative,Pathogenic,52
2872,1636609,Aeromonadaceae,Aeromonas sp. ASNIH4,Aeromonas caviae,Gram-negative,Pathogenic,56
2873,2203204,Streptomycetaceae,Streptomyces sp. WAC 01438,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2874,2493668,Phyllobacteriaceae,Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,(unknown name),Gram-negative,Unknown,51
2875,2493672,Phyllobacteriaceae,Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1,(unknown name),Gram-negative,Unknown,51
2876,2493673,Phyllobacteriaceae,Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1,(unknown name),Gram-negative,Unknown,51
2877,2493678,Phyllobacteriaceae,Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1,(unknown name),Gram-negative,Unknown,51
2878,2497879,Colwelliaceae,Colwellia sp. Arc7-635,Collinsella aerofaciens,Gram-positive,Pathogenic,55
2879,2500155,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,56
2880,2500154,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,51
2881,2500153,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,51
2882,2500532,Paracoccaceae,Paracoccus sp. Arc7-R13,Paracoccus yeei,Gram-negative,Pathogenic,51
2883,2015795,Enterobacteriaceae,Klebsiella sp. LY,Klebsiella aerogenes,Gram-negative,Pathogenic,51
2884,28150,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,52
2885,2292053,Tannerellaceae,Parabacteroides sp. AM08-6,Parabacteroides merdae,Gram-negative,Pathogenic,55
2886,2291989,Clostridiaceae,Clostridiaceae bacterium AF31-3BH,(unknown name),Gram-positive,Unknown,8
2887,2292054,Prevotellaceae,Prevotella sp. AM23-5,Prevotella oris,Gram-negative,Pathogenic,55
2888,2292204,Clostridiaceae,Clostridium sp. AF19-22AC,Clostridium novyi,Gram-positive,Pathogenic,8
2889,2292241,Tannerellaceae,Parabacteroides sp. AF17-28,Parabacteroides merdae,Gram-negative,Pathogenic,55
2890,1038928,Streptomycetaceae,Streptomyces xinghaiensis,Streptomyces xinghaiensis,Gram-positive,Potentially pathogenic,37
2891,72022,Paracoccaceae,Paracoccus methylarcula,Paraclostridium bifermentans muricolitidis,Gram-positive,Pathogenic,51
2892,1986590,Verrucomicrobiaceae,Roseibacillus sp. TMED18,Lysinibacillus sphaericus,Gram-positive,Pathogenic,8
2893,1986665,Rhodothermaceae,Rhodothermaceae bacterium TMED105,(unknown name),Unknown,Unknown,50
2894,1986703,Flavobacteriaceae,Flavobacteriaceae bacterium TMED121,(unknown name),Gram-negative,Unknown,55
2895,1986716,Flavobacteriaceae,Flavobacteriaceae bacterium TMED42,(unknown name),Gram-negative,Unknown,55
2896,1986673,Crocinitomicaceae,Crocinitomicaceae bacterium TMED135,(unknown name),Gram-negative,Unknown,55
2897,2492472,Caulobacteraceae,Caulobacter sp. 602-1,Caulobacter,Gram-negative,Non-pathogenic,47
2898,2491711,Flavobacteriaceae,Flavobacteriaceae bacterium 14752,Chryseobacterium balustinum,Gram-negative,Pathogenic,55
2899,224729,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,56
2900,2490848,Streptomycetaceae,Streptomyces sp. RP5T,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2901,998465,Pseudoalteromonadaceae,Pseudoalteromonas sp. J010,Pseudoxanthomonas,Gram-negative,Potentially pathogenic,56
2902,2479849,Pseudomonadaceae,Pseudomonas sp. v388,Pseudomonas fulva,Gram-negative,Pathogenic,55
2903,2555782,Caulobacteraceae,Brevundimonas sp. 357,Brevundimonas,Gram-negative,Potentially pathogenic,48
2904,2022746,Erwiniaceae,Erwinia sp. 198,Erwinia,Gram-negative,Potentially pathogenic,56
2905,2494697,Flavobacteriaceae,Mangrovimonas spongiae,Mangrovimonas spongiae,Gram-negative,Non-pathogenic,55
2906,2487416,Streptomycetaceae,Streptomyces sp. WAC06614,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2907,2487418,Streptomycetaceae,Streptomyces sp. WAC05292,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2908,2487420,Streptomycetaceae,Streptomyces sp. WAC05374,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2909,2487409,Streptomycetaceae,Streptomyces sp. WAC05858,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2910,2487421,Streptomycetaceae,Streptomyces sp. WAC08241,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2911,2014784,Neisseriaceae,Neisseriaceae bacterium,Neisseria elongata nitroreducens,Gram-negative,Pathogenic,52
2912,2487423,Streptomycetaceae,Streptomyces sp. WAC04770,Streptomyces bikiniensis,Gram-positive,Pathogenic,37
2913,2496849,Pseudomonadaceae,Pseudomonas sp. C 49-2,Pseudomonas fulva,Gram-negative,Pathogenic,55
2914,2497686,Alcaligenaceae,Candidimonas sp. SYP-B2681,(unknown name),Gram-negative,Unknown,52
2915,2490854,Prevotellaceae,Prevotella koreensis,Prevotella koreensis,Gram-negative,Potentially pathogenic,55
2916,1184720,Rhizobiaceae,Rhizobium anhuiense,Rhizobium anhuiense,Gram-negative,Potentially pathogenic,51
2917,2498109,Legionellaceae,Legionella septentrionalis,Legionella septentrionalis,Gram-negative,Potentially pathogenic,54
2918,1258546,Halomonadaceae,Vreelandella nanhaiensis,Prevotella nanceiensis,Gram-negative,Pathogenic,56
2919,447567,Halomonadaceae,Vreelandella andesensis,Veillonella dispar,Gram-negative,Pathogenic,56
2920,2495580,Sphingomonadaceae,Sphingomonas sp. TF3,Sphingomonas devorans,Gram-negative,Pathogenic,51
2921,211165,Chlorogloeopsidaceae,Chlorogloeopsis fritschii,Chlorogloeopsis fritschii,Gram-negative,Non-pathogenic,5
2922,2498107,Legionellaceae,Legionella sp. km535,Legionella dumoffii,Gram-negative,Pathogenic,54
2923,2498450,Pseudomonadaceae,Pseudomonas sp. PAMC 29040,Pseudomonas fulva,Gram-negative,Pathogenic,55
2924,2496787,Phyllobacteriaceae,Mesorhizobium sp. M2C.T.Ca.TU.009.01.2.1,(unknown name),Gram-negative,Unknown,51
2925,2496788,Phyllobacteriaceae,Mesorhizobium sp. M2C.T.Ca.TU.002.02.1.1,(unknown name),Gram-negative,Unknown,51
2926,2496770,Phyllobacteriaceae,Mesorhizobium sp. M5C.F.Ca.IN.020.29.1.1,(unknown name),Gram-negative,Unknown,51
2927,2496742,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.008.03.1.1,(unknown name),Gram-negative,Unknown,51
2928,2496768,Phyllobacteriaceae,Mesorhizobium sp. M5C.F.Cr.IN.023.01.1.1,(unknown name),Gram-negative,Unknown,51
2929,2496750,Phyllobacteriaceae,Mesorhizobium sp. M1E.F.Ca.ET.063.01.1.1,(unknown name),Gram-negative,Unknown,51
2930,2496743,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.010.02.1.1,(unknown name),Gram-negative,Unknown,51
2931,2496738,Phyllobacteriaceae,Mesorhizobium sp. M7D.F.Ca.US.004.01.2.1,(unknown name),Gram-negative,Unknown,51
2932,2496739,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.002.09.1.1,(unknown name),Gram-negative,Unknown,51
2933,2496736,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.005.03.1.1,(unknown name),Gram-negative,Unknown,51
2934,2496726,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.001.04.1.1,(unknown name),Gram-negative,Unknown,51
2935,2496728,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.001.13.1.1,(unknown name),Gram-negative,Unknown,51
2936,2496721,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.001.05.1.1,(unknown name),Gram-negative,Unknown,51
2937,2496722,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.003.01.2.1,(unknown name),Gram-negative,Unknown,51
2938,2496717,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.002.15.1.1,(unknown name),Gram-negative,Unknown,51
2939,2496709,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.003.02.2.1,(unknown name),Gram-negative,Unknown,51
2940,2496705,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.002.06.1.1,(unknown name),Gram-negative,Unknown,51
2941,2496701,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.001.01.1.1,(unknown name),Gram-negative,Unknown,51
2942,2496703,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.001.02.1.1,(unknown name),Gram-negative,Unknown,51
2943,2496682,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.CA.001.06.1.1,(unknown name),Gram-negative,Unknown,51
2944,2496710,Phyllobacteriaceae,Mesorhizobium sp. M7A.F.Ca.US.003.02.1.1,(unknown name),Gram-negative,Unknown,51
2945,2499626,Chromatiaceae,Rheinheimera sp. YQF-1,(unknown name),Gram-negative,Unknown,56
2946,2499834,Paracoccaceae,Rhodobacteraceae bacterium CCMM004,(unknown name),Gram-negative,Unknown,51
2947,2494256,Streptomycetaceae,Streptomyces sp. San01,Streptomyces somaliensis,Gram-positive,Pathogenic,37
2948,2494255,Rhizobiaceae,Rhizobium sp. RMa-01,Agrobacterium radiobacter,Gram-negative,Pathogenic,51
2949,1871066,Phyllobacteriaceae,Mesorhizobium sp.,Mesorhizobium,Gram-negative,Non-pathogenic,51
2950,2502784,Flavobacteriaceae,Flavobacterium cerinum,Flavobacterium cerinum,Gram-negative,Potentially pathogenic,55
2951,2496746,Phyllobacteriaceae,Mesorhizobium sp. M2A.F.Ca.ET.039.01.1.1,(unknown name),Gram-negative,Unknown,51
2952,2305909,Sphingobacteriaceae,Mucilaginibacter gilvus,Mucilaginibacter gilvus,Gram-negative,Non-pathogenic,54
2953,1160765,Enterobacteriaceae,Salmonella enterica,Salmonella enterica,Gram-negative,Pathogenic,56
